	name	fold	log2fold	tstat	pvalue	qvalue	updown	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	serum_pos_ab_zip	serum_pos_aw_zip	maxint	mean1	sd1	mean2	sd2	10102016-012	10102016-016	10102016-020	10102016-027	10102016-033	10102016-035	10102016-039	10102016-040	10102016-041	10102016-046	10102016-057	10102016-066	10102016-067	10102016-070	10102016-014	10102016-015	10102016-018	10102016-019	10102016-036	10102016-037	10102016-038	10102016-045	10102016-050	10102016-054	10102016-056	10102016-059	10102016-063	10102016-072	isotopes	adduct	pcgroup
31	M520T5	1.07437154235645	-0.103492996693925	-0.905280928091642	0.373712410416623	1	DOWN	520.341287986764	520.339297988431	520.343170115533	4.64545008666667	4.64303356	4.65245007	27	13	14	13213.5859375	11611.1621341958	2464.08442699024	10807.3991877416	2228.09993885473	15590.0017193449	7869.2304525302	12280.8637950957	11468.7175311928	11154.3861664891	8554.19822229529	11966.6132583638	9297.66736941623	10219.9591702862	12274.7416669714	14793.9092282814	11731.5893845809	9610.85031233898	15743.5416015535	16034.0248483225	12018.7350592665	9324.15831526708	11356.6674168149	7119.46757958586	11643.9240780197	13496.7889544233	9245.42052105838	10881.960173804	11278.4093929126	8676.24851813198	8909.99111239385	11316.2573720375	10001.5352863445	[3][M]+		2
32	M159T0	1.01508527193198	0.0216009256627238	0.899716095238265	0.376529532284632	1	UP	158.965025816027	158.964341304986	158.965283701399	0.446291672666667	0.442666678666667	0.447349989333333	28	14	14	1007.15869140625	1724.52932917061	76.7094899249125	1750.54432305581	76.29199198037	1927.06905670414	1835.65025053822	1699.09454850921	1652.86114148301	1742.56480135556	1668.05357219528	1667.65641449264	1660.79106554791	1738.61703546504	1765.58420291738	1695.58516224048	1688.10139014362	1727.01459229995	1674.76737449606	1914.02718938902	1914.59610571644	1702.04645714998	1749.54401341612	1715.67181071779	1686.94651919441	1685.29800124917	1740.77662188721	1679.01573290832	1760.69499063689	1714.71523205571	1726.48779252044	1796.57423245631	1721.22582348361			41
33	M807T5	1.07779168465339	0.108078361245017	0.891348802677461	0.381341571422636	1	UP	806.571762628317	806.567199566769	806.573960312095	5.30830005833333	5.23399979333333	5.32278344	50	14	14	8484.6875	15911.8928146726	4073.15744252161	17149.7057627501	3226.15551149462	22730.3763752247	15830.4547878095	14026.7099943031	10564.7967389414	19047.664607803	13949.7115350835	16212.0111496504	19374.709058865	18427.972563752	19824.9578178403	19803.5681113703	11802.9649082332	11238.5765792038	9932.02517733587	13530.534661344	18795.7121758353	18343.012538144	12763.1655182239	20802.106611954	17390.882362974	22044.0320180442	15840.8007021921	20546.5095432439	15834.4978059428	13393.2569308818	21025.7956463016	16786.899883185	12998.6742802354	[20][M]+		10
34	M576T5	1.07468346969812	0.103911800335137	0.884214020498506	0.384684627713116	1	UP	576.467445338462	576.466502383611	576.469513431741	5.21923346333333	5.21608324	5.22408324	13	6	7	709.14501953125	741.801964039918	165.489770109447	797.202308543297	166.048347751042	596.69751097025	530.616383811152	653.606123202181	870.51704891325	591.262677205631	909.531596734899	858.29389971868	669.687969585648	941.268955853306	624.072868854822	962.517492080296	619.709036460953	974.256629252803	583.189303914983	840.426287139543	560.492405829272	673.046448904532	605.618978779231	878.926545214557	636.668501110127	705.793373300694	800.122097500009	841.84320153001	1076.44299891648	1029.346682327	840.844418766883	650.041039506572	1021.21934078125			24
35	M166T1	1.03306518016267	-0.0469312824032331	-0.867127008275807	0.39411579209334	1	DOWN	166.086669895728	166.081659564523	166.087187156024	1.47617503666667	1.46898338666667	1.47996669666667	28	14	14	1089.568359375	2577.82338875563	275.64153427202	2495.31533755663	225.330590622372	3064.69386436038	2515.51618988957	2632.79228233773	2732.10236765894	2816.66219739213	2720.60339647749	2566.89063893941	2234.11561819643	2631.23936917266	2237.56836592284	2554.2278105471	2894.54960344983	2041.44490830169	2447.1208299326	2589.36108728916	2660.01847813814	2506.53886714151	2509.64037126772	2245.11042758975	2503.48214592879	2576.85877477206	2347.44451041806	2375.59633218674	2060.65069042446	2991.83611400702	2578.70977953839	2689.28666246913	2299.88048462196			38
36	M453T4	1.04037330229237	-0.0571012829166109	-0.861904192312521	0.396624032630831	1	DOWN	453.343791849819	453.342244397899	453.344940894267	3.51960834833333	3.49220000666667	3.52011678666667	28	14	14	1572.8779296875	1085.24802466034	130.692015600324	1043.13328905028	127.848033618414	1465.10652657146	1074.22426933008	1013.61846048901	1147.44719397857	916.816973159622	957.618350043561	1135.00228866393	1120.42881755657	1156.27416786393	1060.48625318047	1079.37064319777	1015.02445774499	1062.23578973892	989.818153725897	1268.70320174243	1267.71924053387	971.036054890557	970.843286693438	989.649105778245	1102.8040010429	1141.57903446106	1073.31988006288	915.741440631338	1130.51209915351	1038.1937218431	869.702773283183	881.70991196749	982.352294619952			29
37	M769T6	1.09498355828463	0.130909207215207	0.859119445090718	0.398235422743435	1	UP	768.591174232273	768.58841618456	768.593874991558	5.59789989	5.58970000666667	5.63029978333333	29	14	14	1258.5712890625	2934.53870729368	907.73961223851	3213.27163563642	806.02076045736	3491.83005630347	1953.71711270531	3472.26681504747	2978.61579268539	2716.03350260484	2667.40375233666	3871.62015765421	2504.91241699415	2454.63897472217	3866.40445183038	4178.46251883866	1314.28707447508	1652.88459488738	3960.4646810264	2736.51018080838	3716.27668462369	3967.11753771981	3127.67502523717	2258.57780294352	3988.40280372005	3410.60287929803	2214.52930630054	4627.99434731487	2540.25995417669	2768.42118566255	3092.83916039163	4309.51023882407	2227.08579188893			36
38	M568T5	1.16824776079333	0.224346271959437	0.848599863196273	0.404018856052262	1	UP	568.341444653999	568.339184241862	568.342837210674	4.62446679	4.62356683	4.68161649	26	11	13	3116.396484375	1048.07344649935	507.305004702382	1224.40945701981	589.196521970404	1828.52610863558	853.6124760921	1168.61555100963	464.595160316443	1949.47260964897	541.286256571145	861.618221116059	942.801278453347	999.57788290483	1600.68442543516	1584.12207544794	659.360993345309	388.612732259726	830.1424797547	882.565019109043	1974.65728387174	806.457595648793	1001.58322512856	870.280784450666	2002.35435989454	2524.24840722443	973.269409232004	1325.16278701282	920.892248667652	593.453722159615	1025.43274325598	1651.80556288741	589.56924973415			25
39	M815T5	1.12524454509598	0.170238570915822	0.809739982899834	0.425567148456283	1	UP	814.69140033573	814.687052699532	814.694699217609	4.89677512166667	4.86071682	4.92210001	28	14	13	2786.021484375	7225.64960395826	2753.68459224298	8130.62280162898	3147.05242467124	3409.15330190914	5708.26138192034	7242.82066698754	9820.74992708939	5515.48145766107	11662.2030043402	12136.1989493921	5954.92649145924	5800.21067238883	5306.08509492997	7771.94872372605	6317.49839929826	4110.70630570831	10402.8500786051	7533.03490677272	11137.0934523533	10432.3033601462	5294.64775686295	5829.93167378824	1949.63210040325	11817.4246833201	8441.60584738515	9895.36419040625	9883.11049909049	8584.81853426762	12424.8988814652	7302.13720727526	3302.71612926892	[25][M+1]+		7
40	M812T6_3	1.29295404725563	-0.370671001385977	-0.795925961890811	0.437450146692107	1	DOWN	811.671762216575	811.668738680959	811.673356443463	6.46874987666667	6.42861656333333	6.55721686333333	17	8	8	992.9580078125	945.074790376718	945.806797736253	730.942288616286	344.633782874068	810.73882077444	605.931644780002	4157.92843914368	657.067506674313	902.379790405267	543.324421675268	577.235299255537	674.929274043107	505.942805773474	1261.92588213492	583.066700028302	800.631163818416	567.614996119775	582.330320647553	454.446102037576	257.98872594119	1269.09358853866	1255.30843863701	868.546981462309	473.709968512169	424.722156940845	679.667491938757	1326.66921631363	865.396688835976	428.254582362731	638.147416746058	716.60458664997	574.636095711111			45
