featureidx	name	fold	log2fold	tstat	pvalue	qvalue	updown	mzmed	mzmin	mzmax	rtmed	rtmin	rtmax	npeaks	serum_pos_ab_zip	serum_pos_aw_zip	maxint	mean1	sd1	mean2	sd2	10102016-012	10102016-016	10102016-020	10102016-027	10102016-033	10102016-035	10102016-039	10102016-040	10102016-041	10102016-046	10102016-057	10102016-066	10102016-067	10102016-070	10102016-014	10102016-015	10102016-018	10102016-019	10102016-036	10102016-037	10102016-038	10102016-045	10102016-050	10102016-054	10102016-056	10102016-059	10102016-063	10102016-072
17	M522T5	1.06550978018851	-0.0915438355088925	-1.15400942793485	0.259131812482003	1	DOWN	522.357236061579	522.350938030623	522.359481870859	4.72126667333333	4.64528324333333	4.72491669	28	13	14	9452.3125	8615.38032231934	1142.3562096649	8085.68863703446	1282.40844216588	10379.7270434878	8181.33742289057	8563.111985371	8241.47614554971	7323.56171196157	8494.71028349383	8155.26967482444	7727.71128009558	7384.02959415974	9663.01668837734	10488.6990017906	9268.31861604415	6928.20150213759	9816.15356228672	8806.21258428057	9742.2580129754	7708.17304087394	8210.87228125815	5411.66242091769	8782.6819073574	8502.57541435385	8653.63606454692	10349.4895593979	8343.67795147379	6823.33084659279	7424.63405585751	7963.62840263528	6476.80837596122
18	M836T5	1.24913748221639	0.320932271178301	1.05245392051607	0.303511977578925	1	UP	835.670538147195	835.665713205491	835.673528450437	4.89305838	4.88951652666667	4.9930501	34	14	14	9692.3984375	2619.95606213604	1313.23192556003	3272.68531897419	1913.23038406582	1270.21136049648	1104.41441867401	3904.15715548556	2152.34474303692	1518.23717481489	4529.92796125889	1203.83339808514	1689.21089501804	2771.44795974334	5131.32809845203	3798.9721590719	1987.60124434067	3312.97510198985	2304.72319943687	7877.66018305404	3269.69885958788	1400.06332670209	1681.42593806343	2174.46678402998	1042.7683182313	6186.15795158697	2586.74228258659	2219.51358588718	4396.50898106482	2163.25826533349	3245.35026717556	4518.78078803594	3055.19893429934
19	M137T1	1.07011814367565	-0.0977700825010336	-1.04541578398154	0.305455358623394	1	DOWN	137.066426310139	137.065304672784	137.067256205593	0.558758336333333	0.558633349666667	0.562366652333333	28	14	14	5860.77734375	5806.15638287552	955.785728592846	5425.71529806279	969.813267780153	6031.7920565074	8155.63376377869	5008.76411149398	5700.39724320064	5043.11632253341	5308.61693747991	5433.77534595123	5501.21572302254	6188.12699862078	7516.65229291922	5786.94369277266	5389.81982486279	4672.70453051759	5548.63051659649	6269.83519752657	6837.40262731209	5742.6652868611	5861.89020425712	4821.7037840069	3226.31940071949	4169.5311868433	5343.01615292588	6499.18748171323	5280.24983978793	5966.5978249146	4687.0804205788	6046.18933586938	5208.34542956272
20	M341T4	1.06424224949846	-0.0898265835179292	-0.98711517844594	0.332757936079957	1	DOWN	340.759563524882	340.75741101719	340.760923589897	3.60643340833333	3.55561668333333	3.61006669	24	12	12	1240.505859375	869.933851439827	146.990053841334	817.420894396736	134.219649191291	1149.75363421283	963.642585028699	781.578727530044	870.646823318273	851.215680827387	800.973628885136	749.630965004601	836.942911533306	902.496226656635	1179.03810389267	766.964294266887	732.882645448995	677.086049418143	916.22164413398	902.124553477763	747.529955564092	639.024765252795	744.782151296754	813.844904899597	663.649253815413	728.17229463887	818.511813527228	925.761402861059	866.030726277994	780.350465715548	772.611302496737	1183.90605382808	857.592877902384
21	M86T1	1.13299835304912	0.180145764027273	0.958165873660187	0.347082915958461	1	UP	86.0959047027668	86.0954919677292	86.096757601285	0.966316639666667	0.890550000333333	1.06823329	51	14	14	2780.3046875	2609.93006946848	868.804105289206	2957.04647028115	1040.45693441338	4537.03146677074	2110.64337037756	4029.4680097681	1650.92099164887	1831.18843689173	3020.26616662816	3235.45598515163	2159.09524107362	2958.23049725317	2164.27295920441	1741.44126385761	2291.37919139073	2026.85288477103	2782.77450777133	1844.15771207265	2270.00730570817	2853.17493737706	2368.62052802407	1773.9399229855	2813.19685146391	2211.28696988301	4335.53188571497	3844.55984998883	2618.87426962017	4833.88701845745	2878.67116471509	4669.89083922298	2082.85132870228
22	M520T5	1.07301895510448	-0.101675561829473	-0.957220915564686	0.347288486862671	1	DOWN	520.341112314942	520.339300709458	520.343375812385	4.64481667333333	4.64176649	4.65245007	28	14	14	13213.5859375	10383.6113382989	1910.86384995287	9677.00643954406	1994.34507101586	13463.7624486837	6911.72100817383	10569.1958959453	10132.969267724	9942.11503173121	8057.88181612293	11102.3676660408	8905.3826940017	9849.65231430943	10899.3260685906	13073.5616685635	10202.8556735515	9057.38982286288	13202.3773598836	14883.332305733	10269.0013877676	8808.21401323582	10605.5587408827	6108.81813685691	10913.6803684314	10206.923519647	8760.68996424861	9385.2781512075	9940.10472920633	8373.73703325201	7723.91092915967	10636.3752410422	8862.46563294611
23	M553T5	1.05857465305361	0.0821230150162246	0.924743407227771	0.363604908417442	1	UP	553.391536602108	553.390140233525	553.392390280567	5.21873326333333	5.21558311666667	5.22408324	14	5	9	693.60302734375	796.374146599926	134.404354714485	843.02148593788	132.511102468194	775.231470454986	654.220246569486	722.2682194762	964.832586681323	697.843910833104	687.779632838308	872.541923300865	710.796859875188	1014.63853483758	724.587716789916	996.699416246122	671.693759357037	960.741817495168	695.361957643674	940.641397428314	608.341708721514	717.566781583045	728.379234112011	808.857841829073	763.336962489136	897.087801829693	855.529662873759	929.043332072539	1063.41552904133	962.700129685659	794.465760633314	707.669056937493	1025.26560389344
24	M769T6	1.21589492583057	0.282018560580052	0.924783612084558	0.364205151330986	1	UP	768.589933917993	768.585592495035	768.594001780004	5.60475006333333	5.58630008	5.62833332	17	6	9	1258.5712890625	1546.60964635172	815.124456884634	1880.51482123967	1077.35941193367	1925.8756464503	1230.31499151479	1665.43174192242	1147.81242262538	1496.72324603254	1020.58366101065	837.654051393413	636.303378993322	816.026357123454	1871.72661326148	2072.86734130301	1685.30458006737	1327.31382748214	3918.59718974377	1123.67481390067	1590.1332302615	1264.62215278533	1616.75759995593	1378.82819142938	3970.30334762106	1535.15514392609	1126.86467738542	1936.89113081365	856.534953652324	1426.74713514745	3218.90150876999	4136.17219686277	1145.62141484378
25	M162T0	1.07192035348643	0.100197713725775	0.908325084494774	0.374046568492647	1	UP	162.112839466962	162.112016300841	162.113439264557	0.482933342	0.481716673	0.486683333333333	20	10	10	901.484375	560.938657659487	143.540099003509	601.28156420256	83.7463377018083	657.375053023423	129.967874137801	451.668586517829	516.890912500278	610.393251779259	566.357918432098	551.501657494227	688.011883160962	725.354655203155	635.96671179464	547.411485095846	642.558398773956	546.346979866524	583.335839452815	597.562320896026	538.54282274032	520.061342063672	561.964042925811	669.834085437013	686.031654450925	474.103084059083	657.711707068587	624.383561608342	546.024198860138	595.79887329633	805.349590779872	588.443915032859	552.130699616857
26	M812T6_3	1.23031700853867	-0.299030094199224	-0.841338313184238	0.407936639371851	1	DOWN	811.67221440778	811.670331514205	811.676389112135	6.27401663333333	6.22506683666667	6.38703315333333	43	12	14	3821.4296875	6673.99645037233	4154.8031858658	5424.61528537224	3689.23468881474	4995.96020835037	5574.26266057906	15942.2551749705	1223.96079369506	10977.3648724438	6684.69485337742	5868.29310220054	1224.22633806383	1395.23050466132	9835.311577604	10331.6742472647	5274.40259784371	8156.03964888922	5952.27372526924	1528.58714422557	1764.15454010859	8525.99793276988	1663.05393859042	1477.93357149139	12308.3500503702	1930.29025952257	9107.41271421723	4485.62680636574	7731.18161777863	5179.41251578129	7741.87810663966	9631.12472315869	2869.61007419159
