row ID,row m/z,row retention time,10102016-04201.CDF Peak height,10102016-06001.CDF Peak height,10102016-02401.CDF Peak height,10102016-07601.CDF Peak height,10102016-00501.CDF Peak height,
65,584.4741333007812,4.851563358306885,404.1650390625,409.6181640625,384.951904296875,405.58349609375,1329.2421875,
61,658.5115417480469,4.805356693267822,455.8427734375,432.372314453125,474.896484375,420.77783203125,1225.8916015625,
13,453.3503753662109,3.5170100212097166,946.85595703125,982.447265625,933.9384765625,852.60009765625,1472.94921875,
139,708.5124206542969,5.909460067749023,241.161865234375,273.408203125,254.2847900390625,234.986572265625,606.60791015625,
46,184.98700103759765,5.086400032043457,540.6884765625,532.80126953125,614.79248046875,562.306640625,1062.04296875,
1039,184.98703384399414,5.327250003814697,0,0,594.0029296875,507.08349609375,0,
58,787.6697692871094,4.888208389282227,459.56787109375,0,0,444.085693359375,0,
762,143.96032333374023,5.020370841026306,0,885.6318359375,849.15966796875,818.2236328125,1094.6083984375,
770,184.98693656921387,5.450049877166748,0,512.869140625,574.5966796875,501.888671875,1012.60546875,
106,512.4174682617188,4.761536598205566,315.337890625,323.26416015625,408.091064453125,416.306884765625,974.59912109375,
772,140.9971408843994,5.0230792760849,0,404.361328125,402.611328125,396.517578125,612.48779296875,
37,813.687510172526,5.08584451675415,607.94482421875,555.42626953125,654.830078125,0,0,
1255,139.98949432373047,5.355316638946533,0,0,0,358.6064453125,467.499267578125,
63,813.6877975463867,5.127812504768372,428.138427734375,432.170166015625,447.660400390625,522.64599609375,0,
68,140.9971923828125,5.064739990234375,385.596923828125,405.193359375,416.581298828125,391.52294921875,631.76806640625,
66,787.6697235107422,5.086300015449524,404.12744140625,449.034423828125,495.342529296875,396.40966796875,0,
1286,663.4575500488281,5.921799898147583,0,0,0,123.5506591796875,449.17724609375,
48,184.9870548248291,5.159025073051453,531.44140625,525.00927734375,640.4013671875,511.73828125,0,
108,556.4435302734375,4.7641599655151365,314.12841796875,369.01708984375,396.9931640625,381.951416015625,1020.50244140625,
1049,139.98959350585938,4.936600208282471,0,0,324.294677734375,0,477.51123046875,
1048,140.9972152709961,5.317083358764648,0,0,398.772216796875,393.93408203125,0,
268,145.95657094319662,5.153372128804524,352.69287109375,381.498046875,0,376.6220703125,0,
159,663.4576568603516,5.904649972915649,222.094970703125,202.6097412109375,194.634521484375,238.0435791015625,0,
1259,145.95662307739258,5.35170841217041,0,0,0,350.707763671875,465.67529296875,
84,145.95660400390625,4.962500095367432,358.5498046875,358.83056640625,0,0,0,
1253,140.99712753295898,4.96625018119812,0,0,0,393.4130859375,587.5322265625,
1258,453.78614807128906,6.413849830627441,0,0,0,354.288330078125,524.5361328125,
71,145.9566207885742,5.055353355407715,380.6279296875,362.336181640625,347.36572265625,355.8427734375,493.981201171875,
54,813.6877975463867,5.100737452507019,497.02587890625,505.603515625,561.849609375,621.107421875,0,
109,145.95677185058594,4.916708469390869,311.9052734375,0,0,0,468.27734375,
107,702.53759765625,4.804633331298828,314.755859375,308.380859375,374.024658203125,320.553955078125,858.34423828125,
137,815.7014567057291,5.933749993642171,244.9864501953125,186.9622802734375,273.20849609375,0,0,
