row ID,row m/z,row retention time,10102016-01101.CDF Peak height,10102016-01201.CDF Peak height,10102016-01001.CDF Peak height,10102016-01501.CDF Peak height,10102016-01601.CDF Peak height,10102016-01401.CDF Peak height,10102016-01901.CDF Peak height,10102016-00901.CDF Peak height,10102016-02001.CDF Peak height,10102016-01801.CDF Peak height,10102016-01701.CDF Peak height,10102016-01301.CDF Peak height,10102016-02301.CDF Peak height,10102016-02201.CDF Peak height,10102016-02901.CDF Peak height,10102016-02101.CDF Peak height,10102016-02701.CDF Peak height,10102016-03301.CDF Peak height,10102016-02801.CDF Peak height,10102016-02601.CDF Peak height,10102016-03201.CDF Peak height,10102016-03001.CDF Peak height,10102016-03701.CDF Peak height,10102016-03101.CDF Peak height,10102016-03401.CDF Peak height,10102016-04101.CDF Peak height,10102016-03501.CDF Peak height,10102016-03601.CDF Peak height,10102016-04001.CDF Peak height,10102016-04401.CDF Peak height,10102016-03901.CDF Peak height,10102016-03801.CDF Peak height,10102016-04501.CDF Peak height,10102016-04801.CDF Peak height,10102016-04701.CDF Peak height,10102016-04601.CDF Peak height,10102016-05301.CDF Peak height,10102016-05101.CDF Peak height,10102016-05001.CDF Peak height,10102016-04901.CDF Peak height,10102016-05401.CDF Peak height,10102016-05201.CDF Peak height,10102016-05801.CDF Peak height,10102016-05501.CDF Peak height,10102016-05601.CDF Peak height,10102016-05901.CDF Peak height,10102016-06201.CDF Peak height,10102016-05701.CDF Peak height,10102016-06701.CDF Peak height,10102016-06401.CDF Peak height,10102016-06301.CDF Peak height,10102016-06501.CDF Peak height,10102016-06601.CDF Peak height,10102016-07001.CDF Peak height,10102016-06801.CDF Peak height,10102016-06901.CDF Peak height,10102016-07301.CDF Peak height,10102016-07401.CDF Peak height,10102016-07201.CDF Peak height,10102016-07101.CDF Peak height,10102016-07501.CDF Peak height,
1829,619.487772198623,5.054108432081879,30.247726440429688,12.151901245117188,28.093170166015625,17.9423828125,31.107467651367188,28.465164184570312,61.201416015625,82.206787109375,49.966217041015625,27.626815795898438,16.378341674804688,84.09014892578125,27.263290405273438,35.47564697265625,9.411483764648438,39.202972412109375,39.131866455078125,18.05328369140625,14.177215576171875,48.835113525390625,13.71527099609375,16.202529907226562,14.177215576171875,6.9559326171875,16.202529907226562,66.497314453125,38.542999267578125,17.183685302734375,52.295989990234375,33.9991455078125,23.129409790039062,15.189872741699219,20.69183349609375,24.088394165039062,54.623382568359375,20.055419921875,61.092926025390625,17.806167602539062,64.86322021484375,63.760101318359375,35.433990478515625,24.286529541015625,10.126579284667969,36.826141357421875,41.221435546875,17.037033081054688,79.87384033203125,34.60455322265625,15.850608825683594,51.146453857421875,9.113922119140625,66.94873046875,14.974258422851562,14.177215576171875,15.184318542480469,51.570404052734375,32.3472900390625,12.151901245117188,12.625404357910156,63.269378662109375,21.19256591796875,
1830,710.5191503820308,5.9164100865848726,85.1123046875,89.94873046875,85.14337158203125,92.34722900390625,83.344482421875,93.17926025390625,60.108917236328125,83.8636474609375,54.441619873046875,71.68255615234375,67.549072265625,76.8841552734375,75.287841796875,74.716552734375,68.704345703125,84.1837158203125,68.43048095703125,68.75079345703125,89.1884765625,81.04754638671875,87.33642578125,79.2684326171875,78.582275390625,81.83453369140625,70.4993896484375,65.8558349609375,66.80694580078125,57.153472900390625,77.9825439453125,74.8724365234375,69.5830078125,68.7225341796875,84.26556396484375,67.267333984375,89.15234375,83.14617919921875,104.819580078125,54.281768798828125,68.2779541015625,68.99267578125,81.13922119140625,79.20782470703125,70.4083251953125,66.70428466796875,76.86663818359375,87.94024658203125,70.4588623046875,67.5303955078125,76.9376220703125,74.44989013671875,54.050537109375,68.552978515625,76.70599365234375,67.0755615234375,68.1722412109375,72.433349609375,74.00469970703125,90.34375,80.90264892578125,79.46893310546875,66.60784912109375,
1840,485.8119041309859,5.984063914564789,56.087432861328125,57.528594970703125,70.114990234375,55.953094482421875,58.89837646484375,61.236602783203125,53.147735595703125,72.44989013671875,50.315826416015625,55.927520751953125,58.7301025390625,56.14556884765625,54.57940673828125,46.816009521484375,47.50933837890625,45.83056640625,51.02008056640625,44.809814453125,53.048797607421875,52.362884521484375,46.771514892578125,48.707733154296875,50.375579833984375,43.713653564453125,44.639617919921875,42.876678466796875,46.58563232421875,52.0322265625,48.417633056640625,56.742340087890625,46.15045166015625,50.389373779296875,45.524932861328125,52.897918701171875,55.33197021484375,57.400909423828125,57.215240478515625,45.023834228515625,49.681243896484375,50.405609130859375,42.278839111328125,48.71453857421875,58.07177734375,51.2720947265625,46.034271240234375,43.618682861328125,49.919647216796875,47.654693603515625,49.79083251953125,39.107391357421875,50.96435546875,46.389404296875,50.701416015625,52.182861328125,45.800567626953125,46.55828857421875,43.25396728515625,48.2252197265625,49.851806640625,46.74859619140625,46.41729736328125,
1844,99.51184628566293,4.788971064520664,56.1231689453125,54.054901123046875,47.85015869140625,42.454437255859375,49.91839599609375,42.679534912109375,51.761566162109375,44.747772216796875,46.816009521484375,46.816009521484375,49.91839599609375,40.1302490234375,45.041778564453125,54.054901123046875,60.259674072265625,55.089019775390625,59.225555419921875,61.957855224609375,66.0943603515625,50.9525146484375,66.46441650390625,53.020782470703125,47.85015869140625,57.15728759765625,54.054901123046875,46.816009521484375,40.61126708984375,52.650726318359375,55.089019775390625,56.7872314453125,48.88427734375,49.91839599609375,54.054901123046875,56.1231689453125,48.88427734375,48.88427734375,52.650726318359375,57.82135009765625,59.88958740234375,60.259674072265625,51.986663818359375,65.4302978515625,64.39617919921875,67.2734375,69.0858154296875,55.089019775390625,53.020782470703125,53.57391357421875,67.2734375,57.15728759765625,53.020782470703125,57.15728759765625,67.2734375,63.136932373046875,60.259674072265625,55.089019775390625,68.53265380859375,71.4158935546875,58.19140625,72.70037841796875,61.293792724609375,
1851,781.6209414038586,6.33306339138844,91.306884765625,83.37567138671875,109.673583984375,85.75146484375,85.12823486328125,80.30535888671875,48.255096435546875,101.323974609375,65.47711181640625,64.75732421875,74.46978759765625,70.1865234375,71.87847900390625,63.6318359375,93.5208740234375,61.017852783203125,81.99835205078125,73.62030029296875,101.53851318359375,72.92034912109375,54.843017578125,74.28289794921875,50.271331787109375,78.2099609375,67.336181640625,67.87548828125,53.981842041015625,52.015533447265625,74.7618408203125,66.22491455078125,71.45355224609375,69.9293212890625,61.69525146484375,68.35052490234375,68.624755859375,74.93121337890625,66.93902587890625,52.3890380859375,56.733306884765625,60.4752197265625,55.305206298828125,53.264190673828125,89.4755859375,70.80780029296875,82.03533935546875,71.66949462890625,77.49334716796875,51.589813232421875,79.2713623046875,61.575653076171875,105.309814453125,53.612457275390625,53.132720947265625,68.71356201171875,71.91412353515625,77.108642578125,70.9599609375,50.070587158203125,76.00390625,61.102752685546875,63.153533935546875,
1852,182.96525423644022,5.018959029776151,53.456939697265625,46.816009521484375,52.376617431640625,48.88427734375,47.595947265625,43.713653564453125,47.85015869140625,78.24676513671875,37.6446533203125,45.435302734375,44.103607177734375,48.40380859375,49.91839599609375,49.3204345703125,45.712554931640625,47.85015869140625,47.344635009765625,51.986663818359375,46.21807861328125,62.1661376953125,54.054901123046875,42.679534912109375,44.126708984375,49.91839599609375,47.85015869140625,37.508880615234375,45.02215576171875,49.91839599609375,49.297332763671875,70.0491943359375,38.614532470703125,45.781890869140625,43.161895751953125,44.196044921875,40.61126708984375,40.7288818359375,40.61126708984375,48.88427734375,37.945068359375,43.713653564453125,46.816009521484375,49.158660888671875,47.85015869140625,50.9525146484375,47.20599365234375,42.679534912109375,64.39617919921875,41.04742431640625,43.713653564453125,42.679534912109375,48.88427734375,38.67877197265625,44.911468505859375,44.747772216796875,46.310516357421875,46.56182861328125,48.88427734375,43.713653564453125,38.542999267578125,41.001220703125,50.9525146484375,
1855,837.6198752600546,5.550396450230332,42.861663818359375,66.69732666015625,51.29730224609375,63.09564208984375,44.372344970703125,44.74688720703125,46.863433837890625,73.609130859375,54.90509033203125,39.983062744140625,50.008026123046875,65.42626953125,44.91607666015625,39.6920166015625,27.71160888671875,39.66058349609375,41.401519775390625,66.8275146484375,39.09222412109375,47.890960693359375,50.511199951171875,56.37060546875,59.903533935546875,39.882965087890625,56.85076904296875,57.948394775390625,36.01776123046875,57.77587890625,41.614776611328125,44.51812744140625,38.924102783203125,41.77752685546875,44.09136962890625,56.659698486328125,27.341766357421875,53.034210205078125,51.11370849609375,27.47027587890625,62.0572509765625,48.4720458984375,38.2047119140625,31.456649780273438,50.439422607421875,39.526947021484375,45.34735107421875,54.50372314453125,48.324615478515625,50.849884033203125,29.493118286132812,55.519073486328125,50.994781494140625,43.547119140625,43.141082763671875,39.327117919921875,40.338958740234375,53.094512939453125,47.487091064453125,46.462890625,35.030853271484375,56.081756591796875,41.29608154296875,
1856,816.6915732196735,4.829213546494306,52.58123779296875,38.4490966796875,83.04937744140625,35.822967529296875,63.946563720703125,83.81292724609375,46.77032470703125,3.877889633178711,48.568328857421875,48.218353271484375,50.62603759765625,101.361572265625,40.2557373046875,23.353378295898438,38.951507568359375,49.593414306640625,75.0872802734375,44.098907470703125,39.75909423828125,4.050632476806641,33.67572021484375,38.350311279296875,53.093780517578125,66.12750244140625,50.84423828125,42.972564697265625,69.4832763671875,40.82965087890625,41.015289306640625,0,253.16455078125,48.85345458984375,69.6090087890625,44.941192626953125,57.4058837890625,65.9580078125,51.955352783203125,79.989013671875,57.624298095703125,85.04083251953125,16.6427001953125,68.09033203125,78.9986572265625,43.29278564453125,38.63848876953125,151.898681640625,0,27.861923217773438,85.1505126953125,88.31103515625,61.0936279296875,78.434326171875,87.265625,57.010467529296875,55.78912353515625,49.40228271484375,50.611663818359375,81.13623046875,62.897125244140625,63.25543212890625,64.49676513671875,
1857,764.6078157391673,6.192449178852018,144.5985107421875,72.705810546875,82.21441650390625,58.90863037109375,85.70318603515625,95.3809814453125,46.729705810546875,126.8702392578125,103.689208984375,98.1396484375,95.64324951171875,112.40289306640625,53.5341796875,78.907470703125,42.239013671875,72.241455078125,78.490478515625,59.59930419921875,83.10980224609375,77.56805419921875,81.62115478515625,68.91552734375,70.73345947265625,83.97021484375,87.16119384765625,71.4473876953125,62.7867431640625,106.15155029296875,75.541015625,85.39141845703125,68.8153076171875,59.90374755859375,65.85595703125,87.758544921875,46.567626953125,55.853485107421875,74.13775634765625,75.864013671875,80.21728515625,41.488983154296875,59.779754638671875,129.612548828125,52.775390625,88.03631591796875,76.86102294921875,70.42413330078125,70.3250732421875,83.84063720703125,60.270111083984375,63.14019775390625,77.8570556640625,65.71026611328125,100.71978759765625,46.7467041015625,62.742706298828125,69.23272705078125,62.902862548828125,64.86004638671875,73.0533447265625,86.986328125,55.0364990234375,
1858,830.571105876757,5.202315273931471,41.55322265625,44.31640625,72.09356689453125,123.25689697265625,70.61053466796875,33.855316162109375,46.141693115234375,67.32196044921875,86.69403076171875,47.175384521484375,160.01513671875,0,57.84735107421875,83.59027099609375,33.65521240234375,106.88946533203125,92.24151611328125,0,121.6741943359375,84.19970703125,38.6260986328125,96.10540771484375,43.58746337890625,27.965560913085938,89.34912109375,82.050537109375,69.593994140625,104.42254638671875,34.318084716796875,94.76177978515625,84.5386962890625,33.577606201171875,141.5089111328125,46.8302001953125,79.09771728515625,121.49639892578125,142.97509765625,67.36151123046875,42.055755615234375,95.35595703125,84.77032470703125,68.70635986328125,70.0123291015625,94.50439453125,71.09210205078125,104.57037353515625,90.15228271484375,155.7225341796875,47.9652099609375,150.486572265625,76.2606201171875,87.4310302734375,184.2872314453125,55.439727783203125,33.989532470703125,36.423431396484375,110.37335205078125,62.29144287109375,64.5223388671875,51.67767333984375,104.7933349609375,
1862,112.01771355270873,5.163068583754242,34.430389404296875,35.443023681640625,37.508880615234375,40.785675048828125,39.184600830078125,37.68328857421875,43.713653564453125,47.85015869140625,37.508880615234375,31.451766967773438,41.25286865234375,34.601165771484375,44.747772216796875,42.740142822265625,40.28173828125,45.842498779296875,37.508880615234375,39.5771484375,40.55810546875,35.443023681640625,37.508880615234375,42.679534912109375,35.443023681640625,37.455718994140625,35.443023681640625,49.91839599609375,35.170166015625,43.660491943359375,36.474761962890625,41.59222412109375,38.542999267578125,39.5771484375,36.535369873046875,42.740142822265625,36.474761962890625,45.728729248046875,41.36676025390625,41.36676025390625,46.816009521484375,35.443023681640625,42.679534912109375,39.6983642578125,37.508880615234375,41.70599365234375,42.740142822265625,36.474761962890625,43.713653564453125,44.747772216796875,46.816009521484375,44.747772216796875,43.20721435546875,39.5771484375,38.7174072265625,39.5771484375,42.679534912109375,58.19140625,44.808380126953125,39.5771484375,45.781890869140625,45.781890869140625,43.713653564453125,
1863,99.51186438180059,4.881223201751709,42.679534912109375,32.405059814453125,31.392410278320312,48.88427734375,29.367080688476562,34.2099609375,42.679534912109375,34.430389404296875,40.38616943359375,28.35443115234375,35.443023681640625,32.405059814453125,35.443023681640625,46.816009521484375,47.659271240234375,35.443023681640625,46.25506591796875,38.542999267578125,29.004714965820312,41.93939208984375,38.542999267578125,46.445953369140625,38.542999267578125,44.377716064453125,37.508880615234375,29.367080688476562,31.392410278320312,48.88427734375,39.5771484375,59.225555419921875,40.61126708984375,49.91839599609375,37.508880615234375,60.553680419921875,37.172943115234375,44.747772216796875,47.85015869140625,41.6453857421875,41.6453857421875,30.379745483398438,47.62506103515625,40.61126708984375,49.91839599609375,42.679534912109375,54.86395263671875,37.508880615234375,48.88427734375,31.392410278320312,36.474761962890625,53.020782470703125,43.713653564453125,41.6453857421875,50.9525146484375,50.9525146484375,43.713653564453125,41.6453857421875,47.77001953125,54.054901123046875,45.781890869140625,42.679534912109375,55.089019775390625,
1865,99.5117526585194,5.161051890889152,36.3946533203125,37.508880615234375,37.508880615234375,29.367080688476562,33.417724609375,39.5771484375,41.4202880859375,34.430389404296875,36.024566650390625,36.474761962890625,31.934051513671875,37.508880615234375,46.816009521484375,36.474761962890625,43.713653564453125,40.38616943359375,42.679534912109375,37.508880615234375,37.508880615234375,42.118560791015625,37.508880615234375,41.6453857421875,44.747772216796875,42.679534912109375,36.474761962890625,47.85015869140625,48.88427734375,42.3094482421875,45.411834716796875,51.986663818359375,38.542999267578125,31.030029296875,42.679534912109375,41.93939208984375,44.522674560546875,47.659271240234375,42.679534912109375,42.4886474609375,48.88427734375,51.9447021484375,38.06201171875,47.85015869140625,46.816009521484375,47.85015869140625,41.6453857421875,46.816009521484375,46.33502197265625,41.6453857421875,43.713653564453125,43.713653564453125,41.565277099609375,47.62506103515625,39.5771484375,38.542999267578125,44.747772216796875,50.471527099609375,44.5875244140625,38.542999267578125,56.1231689453125,49.91839599609375,41.6453857421875,
1868,810.6649669668062,6.392671303670914,67.8253173828125,109.36614990234375,69.749755859375,92.2603759765625,49.374542236328125,48.43878173828125,40.126129150390625,110.44781494140625,69.9017333984375,82.777587890625,76.1104736328125,70.050537109375,44.45037841796875,55.9388427734375,34.089263916015625,34.300537109375,43.73980712890625,58.305999755859375,44.58197021484375,56.983428955078125,62.954803466796875,48.295257568359375,69.22906494140625,49.095428466796875,65.62103271484375,43.788055419921875,25.455764770507812,40.3154296875,45.461029052734375,39.917694091796875,45.548980712890625,55.548431396484375,36.11700439453125,40.829132080078125,37.6829833984375,47.455718994140625,72.59368896484375,32.000152587890625,64.571533203125,38.28558349609375,59.38751220703125,51.564239501953125,56.48052978515625,34.761138916015625,40.1475830078125,59.979522705078125,43.10211181640625,57.566070556640625,40.993377685546875,44.6494140625,37.528533935546875,66.22503662109375,68.098876953125,30.403579711914062,64.38201904296875,49.865966796875,44.60430908203125,83.443603515625,28.648483276367188,41.273681640625,65.85748291015625,
1869,784.5826942384291,5.3833396395698925,1215.189453125,1117.4287109375,1244.0107421875,1037.974609375,1063.291015625,1341.7724609375,1215.189453125,1316.4560546875,1164.556640625,1008.01171875,1164.556640625,941.30859375,1149.9677734375,852.0830078125,1063.291015625,1190.96875,1113.923828125,911.392578125,924.85791015625,835.44287109375,1037.974609375,1096.927734375,817.85693359375,1265.8232421875,1012.658203125,911.392578125,1088.607421875,1228.6552734375,1020.97802734375,1012.658203125,1129.791015625,886.076171875,962.025390625,1079.158203125,1088.607421875,1223.509765625,1088.607421875,1012.658203125,1000.8076171875,1322.3681640625,1139.240234375,1189.873046875,1016.16259765625,784.81005859375,936.708984375,886.07568359375,1215.189453125,936.708984375,1264.6806640625,963.28564453125,1017.25830078125,1012.658203125,835.44287109375,1113.923828125,1139.240234375,1441.0146484375,962.025390625,1056.2431640625,891.98828125,1088.607421875,1188.7314453125,
