row ID,row m/z,row retention time,10102016-08301.CDF Peak height,10102016-08401.CDF Peak height,10102016-08201.CDF Peak height,10102016-08501.CDF Peak height,10102016-08801.CDF Peak height,10102016-08901.CDF Peak height,10102016-08701.CDF Peak height,10102016-08601.CDF Peak height,10102016-09001.CDF Peak height,10102016-09301.CDF Peak height,10102016-09201.CDF Peak height,10102016-09101.CDF Peak height,10102016-10001.CDF Peak height,10102016-09401.CDF Peak height,10102016-09501.CDF Peak height,10102016-09601.CDF Peak height,10102016-10101.CDF Peak height,10102016-10501.CDF Peak height,10102016-10201.CDF Peak height,10102016-09901.CDF Peak height,10102016-10701.CDF Peak height,10102016-10301.CDF Peak height,10102016-10401.CDF Peak height,10102016-10601.CDF Peak height,10102016-10901.CDF Peak height,10102016-11101.CDF Peak height,10102016-10801.CDF Peak height,10102016-11001.CDF Peak height,10102016-11801.CDF Peak height,10102016-11201.CDF Peak height,10102016-11301.CDF Peak height,10102016-11401.CDF Peak height,10102016-12401.CDF Peak height,10102016-11701.CDF Peak height,10102016-12001.CDF Peak height,10102016-11901.CDF Peak height,10102016-12101.CDF Peak height,10102016-12301.CDF Peak height,10102016-12201.CDF Peak height,10102016-12701.CDF Peak height,10102016-12601.CDF Peak height,10102016-12801.CDF Peak height,10102016-12501.CDF Peak height,10102016-13101.CDF Peak height,10102016-12901.CDF Peak height,10102016-13701.CDF Peak height,10102016-13201.CDF Peak height,10102016-13001.CDF Peak height,10102016-14101.CDF Peak height,10102016-13801.CDF Peak height,10102016-13501.CDF Peak height,10102016-13601.CDF Peak height,10102016-14301.CDF Peak height,10102016-13901.CDF Peak height,10102016-14001.CDF Peak height,10102016-14201.CDF Peak height,10102016-14501.CDF Peak height,10102016-14701.CDF Peak height,10102016-14401.CDF Peak height,10102016-14601.CDF Peak height,10102016-14801.CDF Peak height,
1250,856.6656447190505,6.2632730557368355,0,0,0,0,371.54345703125,0,0,0,0,0,463.63232421875,0,0,0,0,332.04541015625,0,0,0,0,0,0,387.052734375,0,0,0,0,0,0,322.6923828125,326.170166015625,0,376.2568359375,0,358.369140625,0,0,0,0,0,394.267333984375,0,0,0,0,0,0,0,0,0,0,0,0,351.0615234375,322.3076171875,0,0,381.587890625,0,0,388.15576171875,
1251,832.6609966571515,4.971760309659517,0,0,0,0,365.475341796875,0,307.680419921875,0,262.5419921875,0,0,303.641845703125,0,0,0,256.793701171875,0,0,0,0,0,0,0,0,0,0,0,221.912353515625,0,0,310.75732421875,0,276.598876953125,0,0,0,0,280.079345703125,0,0,0,0,310.016845703125,0,239.273681640625,346.297607421875,0,0,325.261474609375,0,0,0,0,0,0,0,0,0,0,0,0,
1252,566.3437683105469,4.663543319702148,0,0,0,0,354.430419921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298.01416015625,0,0,0,0,0,0,0,0,0,0,0,0,227.84814453125,0,188.877685546875,0,0,354.430419921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1253,101.93540874280427,6.418822840640419,0,0,0,0,198.01318359375,0,215.911865234375,0,0,0,193.5057373046875,0,0,0,0,0,0,215.1514892578125,0,0,0,213.078369140625,0,206.9664306640625,184.2205810546875,0,0,222.8544921875,0,0,238.544921875,0,0,0,0,0,0,0,207.66015625,221.1353759765625,0,0,230.46484375,236.177734375,230.42041015625,0,0,218.279052734375,0,0,226.22265625,0,0,0,233.3671875,0,0,223.1392822265625,0,0,202.6097412109375,
1254,130.94403106689452,6.426255321502685,0,0,0,0,178.85888671875,205.9840087890625,0,0,0,0,180.5577392578125,0,199.989013671875,210.0472412109375,0,0,0,199.5584716796875,211.2078857421875,0,201.66650390625,0,198.49365234375,0,168.327392578125,0,215.0145263671875,0,189.973876953125,0,0,0,219.385009765625,217.0638427734375,190.0345458984375,0,0,0,0,217.697998046875,0,226.7794189453125,221.2757568359375,0,216.824951171875,210.1429443359375,0,0,0,0,0,198.0631103515625,0,0,218.1715087890625,221.8450927734375,216.9208984375,185.7696533203125,0,0,0,
1255,859.6849992540148,6.1614768505096436,0,0,0,0,161.7313232421875,191.1959228515625,0,150.5098876953125,0,0,0,0,0,0,126.54925537109375,136.1253662109375,143.9195556640625,119.5721435546875,0,0,0,151.8101806640625,0,0,0,148.0172119140625,150.397705078125,0,0,0,151.3216552734375,0,0,0,0,0,169.601806640625,147.45947265625,0,0,0,152.5086669921875,0,0,0,0,0,135.3726806640625,0,0,0,0,0,0,169.0419921875,150.70703125,0,145.971923828125,0,0,0,
1256,829.6420177112926,6.473571170460094,0,0,0,0,154.8101806640625,0,0,0,0,0,151.1309814453125,0,0,0,151.889404296875,0,0,0,0,0,0,100.667724609375,137.705322265625,0,154.14306640625,0,141.2144775390625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.249267578125,144.27001953125,0,207.4951171875,0,0,219.0313720703125,
1257,857.6733493804932,4.801867693662643,0,0,0,0,140.4339599609375,0,390.08154296875,298.38037109375,0,306.8349609375,157.4569091796875,290.802978515625,318.167724609375,535.404296875,0,0,199.2874755859375,0,281.57861328125,0,503.233642578125,0,318.19921875,339.509521484375,0,484.289794921875,494.506591796875,166.309326171875,250.2515869140625,586.005859375,224.648193359375,177.000732421875,0,0,0,0,0,318.982421875,501.83935546875,0,137.6959228515625,0,0,403.151123046875,0,345.36328125,559.5146484375,0,0,0,0,382.531005859375,329.024658203125,443.88818359375,0,0,0,335.023681640625,231.251708984375,0,233.23974609375,
1258,428.2655082370924,4.613244222558063,0,0,0,0,137.6676025390625,143.08544921875,0,0,0,0,0,0,0,117.97576904296875,100.785888671875,162.8359375,0,0,103.29107666015625,95.7093505859375,0,0,118.626953125,0,107.5277099609375,94.654541015625,0,118.2919921875,123.67413330078125,0,99.92877197265625,0,114.65911865234375,0,0,0,0,0,0,0,0,0,120.04119873046875,0,115.93731689453125,0,0,0,0,0,0,130.1326904296875,94.0133056640625,102.23626708984375,97.819091796875,86.4134521484375,138.7440185546875,0,0,0,103.09332275390625,
1259,102.93494153022766,5.157173961400986,0,0,0,0,132.9317626953125,0,0,0,142.3292236328125,0,134.82177734375,0,0,134.4383544921875,121.7667236328125,0,141.864990234375,0,0,0,119.82977294921875,0,0,125.19635009765625,0,0,136.3607177734375,0,0,0,0,0,145.8277587890625,0,0,0,0,0,0,151.0997314453125,139.0050048828125,0,0,0,0,0,0,133.2381591796875,0,0,0,0,148.1341552734375,0,0,141.557861328125,0,0,0,141.8658447265625,0,
1260,803.6068708631727,6.468184259202745,0,0,0,0,129.407470703125,0,0,0,0,96.7164306640625,67.4979248046875,0,61.426544189453125,0,65.2308349609375,73.403076171875,0,0,95.33941650390625,0,55.088653564453125,0,0,0,122.05841064453125,86.38006591796875,0,0,0,66.00677490234375,72.18621826171875,63.675048828125,73.136474609375,0,0,0,0,121.60406494140625,0,0,0,0,0,100.27508544921875,0,0,0,0,0,0,0,0,0,0,0,0,0,75.93218994140625,0,0,108.45208740234375,
1261,857.6679193405878,6.276484103429885,0,0,0,0,128.7188720703125,0,116.34857177734375,0,0,0,159.5325927734375,0,117.9072265625,111.05029296875,127.64361572265625,0,0,0,90.52392578125,145.66064453125,150.057373046875,143.680419921875,0,138.3837890625,0,0,0,151.6778564453125,142.598388671875,0,0,0,136.416748046875,0,0,0,0,140.7537841796875,0,136.1158447265625,0,0,0,0,0,0,0,0,0,0,140.2386474609375,0,111.094970703125,133.0888671875,0,0,0,0,141.16259765625,0,122.72088623046875,
1262,270.7994412508878,0.522987885908647,0,0,0,0,126.90338134765625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147.0804443359375,145.4349365234375,0,0,149.828125,0,0,150.1978759765625,0,0,0,0,0,138.7440185546875,0,0,0,148.3310546875,0,0,0,0,146.636962890625,0,0,0,0,159.541015625,0,0,0,141.973388671875,0,0,0,0,0,0,0,0,148.7103271484375,
1263,829.5791490342882,5.390961117214626,0,0,0,0,126.582275390625,0,0,0,0,0,0,0,0,151.898681640625,0,0,0,0,0,126.582275390625,0,0,278.48095703125,0,0,0,227.84814453125,0,0,0,0,0,126.582275390625,0,0,0,0,0,0,177.2152099609375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.2152099609375,253.16455078125,0,0,0,0,
